userId,statusId,datetime,rt,sentiment
PalmianoA,993988260169961477,1525820243000,0,1.0
Bitcoin_Win,993987409393127429,1525820040000,0,1.0
T1m_McG,993987389042384896,1525820035000,0,1.963235294117647
laurazamora241,993988259733823494,1525820243000,0,1.0
IMG05555057,993988273025572866,1525820246000,0,1.6904761904761905
huggy22,993987438166003712,1525820047000,0,1.4172661870503598
AdedayoPhilips,993987438975635458,1525820047000,0,3.0
the4nobletruths,993988359453335552,1525820266000,0,1.0
CryptocrazeNick,993987439076216837,1525820047000,0,1.0
CryptocrazeNick,993987442788241408,1525820048000,12,1.0
BlockMinded,993987449058717696,1525820049000,0,1.0
dadakana,993988344722829312,1525820263000,0,1.0
heatrockz,993988336355340288,1525820261000,0,1.2753623188405796
sihinbakhaty,993988323185065985,1525820258000,9,1.0
HanahRomo,993988372149366784,1525820269000,0,1.0347222222222223
IrishGirlCrypto,993987451223007233,1525820050000,0,1.0
thothonegan,993987398395744261,1525820037000,0,1.0
AdminCIF,993988285293891589,1525820249000,0,1.0
med_LinkedIn,993987459477262336,1525820052000,1,1.0
WSJFinReg,993987432776454144,1525820046000,0,1.0
scottdecarlo1,993988252582506502,1525820241000,0,1.0
91_manya19,993987421640495104,1525820043000,0,2.3138686131386863
Jpump_sigma,993988335222669312,1525820261000,0,1.194915254237288
stanleyamayer,993988388654022656,1525820273000,17,1.0
robcflores,993988354277601281,1525820265000,0,1.0
arjunblj,993987407325401088,1525820039000,0,2.0
faraj_warda,993987391097589765,1525820036000,0,1.359375
ANAKHOLYCROSS,993988380118536193,1525820271000,0,1.0
jamjamwala333,993987431358783489,1525820045000,0,1.0
Bennyd__,993987432545705984,1525820045000,0,1.5808823529411764
RandolphMlny,993988322027556865,1525820258000,4,1.0
bitcointens,993988388142305280,1525820273000,0,1.2613636363636365
leejh5146,993988346819964928,1525820263000,0,1.0
Qs3HdPAnSXxmT26,993988330906763264,1525820260000,0,1.0
Secure_MyHouse,993987397120544769,1525820037000,0,1.0
fairyRenay,993988353644269568,1525820265000,0,1.0
afreddie77,993988292227026944,1525820250000,5,1.0
wcgroen1,993988312120487936,1525820255000,0,1.0
DonaldWassink,993988319439564800,1525820257000,0,1.0
IgnoredAmbience,993987391345123328,1525820036000,0,1.0
dugadian,993987410898968576,1525820040000,0,2.0
Andy68000626,993987414854062080,1525820041000,0,1.0
krinonx,993988310082162688,1525820255000,0,1.3970588235294117
TeaTheScout,993988316834955265,1525820256000,0,1.0
joko4ko2,993988261692358656,1525820243000,0,1.5144927536231885
RafaelTS08,993987418549309440,1525820042000,10,1.0
RafaelTS08,993987447028703232,1525820049000,0,1.0
Bluerocketship2,993987455396216833,1525820051000,3,2.888059701492537
